datetime,path,referrer,referrer_path,country,country_name,device,browser,os,event_type
2026-04-04T06:30:00Z,/immersiiviset-tilat/,(direct),,CN,China,mobile,ChromeMobile,Android,visit
2026-04-04T18:05:00Z,/en/asiakastarinat/circular-economy-game/,(direct),,US,United States,mobile,ChromeMobile,Android,visit
2026-04-04T08:00:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,mobile,ChromeMobile,Android,visit
2026-04-05T03:55:00Z,/no/immersive-spaces/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-05T03:55:00Z,/asiakastarinat/laakkeiden-jako/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T04:45:00Z,/tiimi/taru-viitanen/,(direct),,SE,Sweden,mobile,ChromeMobile,iOS,visit
2026-04-04T08:05:00Z,/asiakastarinat/centria/,(direct),,US,United States,mobile,ChromeMobile,iOS,visit
2026-04-04T17:40:00Z,/immersiiviset-tilat/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T13:30:00Z,/blog/impact-of-ai/,www.google.com,/,MT,Malta,desktop,Chrome,MacOSX,visit
2026-04-04T18:50:00Z,/,www.linkedin.com,/,IT,Italy,mobile,Unknown,Unknown,visit
2026-04-04T16:20:00Z,/en/tapahtumat/sett-2026/,(direct),,CN,China,desktop,Unknown,Unknown,visit
